sample	sex	platform	basecaller
HG03557	F	R9	dorado_late
HG03563	F	R9	guppy
HG03571	M	R9	guppy
HG03572	F	R9	guppy
HG03575	F	R10	dorado_late
HG03583	F	R10	dorado_late
HG03603	M	R10	dorado_late
HG03611	F	R9	dorado_mid
HG03616	F	R9	dorado_mid
HG03629	M	R10	dorado_late
HG03631	F	R9	guppy
HG03643	F	R9	guppy
HG03646	M	R9	guppy
HG03663	M	R10	dorado_late
HG03667	M	R10	dorado_late
HG03668	F	R9	guppy
HG03680	M	R10	dorado_late
HG03685	M	R10	dorado_late
HG03692	F	R9	dorado_mid
HG03693	M	R10	dorado_late
HG03694	M	R10	dorado_late
HG03698	F	R10	dorado_late
HG03717	F	R9	guppy
HG03720	M	R10	dorado_late
HG03731	F	R9	guppy
HG03733	F	R10	dorado_late
HG03736	F	R9	dorado_mid
HG03743	M	R10	dorado_late
HG03744	M	R9	guppy
HG03745	M	R10	dorado_late
HG03752	F	R10	dorado_late
HG03755	M	R10	dorado_late
HG03757	F	R10	dorado_late
HG03770	F	R9	guppy
HG03772	F	R10	dorado_late
HG03774	F	R9	guppy
HG03779	M	R10	dorado_late
HG03787	F	R10	dorado_late
HG03788	M	R10	dorado_late
HG03808	F	R10	dorado_late
HG03814	F	R9	guppy
HG03815	M	R10	dorado_late
HG03826	F	R9	dorado_mid
HG03849	F	R10	dorado_late
HG03851	M	R10	dorado_late
HG03857	F	R9	dorado_mid
HG03858	F	R9	guppy
HG03861	F	R9	guppy
HG03864	M	R9	guppy
HG03866	M	R10	dorado_late
HG03868	F	R9	guppy
HG03875	M	R10	dorado_late
HG03884	F	R10	dorado_late
HG03887	M	R10	dorado_late
HG03897	F	R9	dorado_mid
HG03898	F	R9	guppy
HG03902	M	R10	dorado_late
HG03910	F	R9	guppy
HG03911	M	R10	dorado_late
HG03919	F	R9	guppy
HG03920	M	R10	dorado_late
HG03934	F	R9	dorado_mid
HG03945	F	R10	dorado_late
HG03953	M	R10	dorado_late
HG03960	M	R10	dorado_late
HG03971	M	R9	guppy
HG03989	F	R9	dorado_mid
HG03991	M	R10	dorado_late
HG03995	F	R9	dorado_mid
HG03998	M	R10	dorado_late
HG04001	F	R10	dorado_late
HG04002	M	R10	dorado_late
HG04019	M	R10	dorado_late
HG04026	F	R10	dorado_late
HG04033	M	R10	dorado_late
HG04038	F	R10	dorado_late
HG04047	F	R10	dorado_late
HG04054	F	R9	guppy
HG04056	M	R10	dorado_late
HG04061	M	R10	dorado_late
HG04063	F	R9	guppy
HG04076	F	R10	dorado_late
HG04094	M	R10	dorado_late
HG04107	M	R10	dorado_late
HG04153	F	R9	dorado_mid
HG04161	M	R10	dorado_late
HG04164	M	R10	dorado_late
HG04171	F	R9	dorado_mid
HG04176	M	R10	dorado_late
HG04189	F	R9	dorado_mid
HG04202	F	R10	dorado_late
HG04209	F	R10	dorado_late
HG04211	M	R10	dorado_late
HG04212	F	R10	dorado_late
HG04214	F	R10	dorado_late
