sample	chemistry	basecaller	folder
HG02186	R10	dorado_late	HG02186-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02187	R10	dorado_late	HG02187-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02188	R9	dorado_mid	HG02188-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02190	R9	dorado_mid	HG02190-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02215	R9	dorado_mid	HG02215-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02220	R10	dorado_late	HG02220-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02230	R10	dorado_late	HG02230-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02232	R10	dorado_late	HG02232-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02236	R10	dorado_late	HG02236-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02252	R9	guppy	HG02252-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02262	R9	guppy	HG02262-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02282	R9	guppy	HG02282-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02301	R10	dorado_late	HG02301-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02304	R9	dorado_late	HG02304-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02312	R9	guppy	HG02312-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02330	R9	dorado_mid	HG02330-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02334	R10	dorado_late	HG02334-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02339	R9	dorado_mid	HG02339-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG02343	R9	dorado_mid	HG02343-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02345	R9	guppy	HG02345-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02348	R9	dorado_mid	HG02348-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02351	R10	dorado_late	HG02351-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02353	R10	dorado_late	HG02353-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02355	R9	dorado_late	HG02355-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02356	R10	dorado_late	HG02356-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02360	R9	dorado_mid	HG02360-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG02373	R9	guppy	HG02373-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02374	R10	dorado_late	HG02374-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02379	R9	dorado_late	HG02379-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02380	R10	dorado_late	HG02380-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02385	R9	dorado_late	HG02385-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02389	R9	guppy	HG02389-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02394	R10	dorado_late	HG02394-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02396	R9	guppy	HG02396-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02409	R9	guppy	HG02409-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02425	R9	dorado_mid	HG02425-ONT-hg38-R9-LSK110_dorado050_sup_5mCG
HG02439	R9	dorado_mid	HG02439-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG02461	R9	dorado_mid	HG02461-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
